, ,Above threshold?,Chi^2,Correlation Coefficient,"Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010070/, redtitle: 20190127010070.bin.counts_ch1.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010071/, redtitle: 20190127010071.bin.counts_ch1.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010080/, redtitle: 20190127010080.bin.counts_ch1.stack.tif",Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,stoichiometry,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
2,3.0,yes,0.8290000000000001,1.013,,,,1.0,3.0,spot-bound,291.67400000000004,20190127.0,bound,72.571,72.571,2.502,4.083,25.363000000000003,spot,278.906,285.645,0.188,9.187999999999999,0.23399999999999999,60.233999999999995,0.213
3,4.0,yes,0.993,1.013,,,,1.0,4.0,spot-bound,294.751,20190127.0,bound,74.143,74.143,2.505,4.087,25.631,spot,285.507,283.447,0.141,27.141,-0.156,74.844,0.213
0,1.0,yes,0.968,1.013,,,,1.0,1.0,spot-bound,296.467,20190127.0,bound,73.592,73.592,2.532,4.124,25.78,spot,283.447,281.046,-0.078,59.922,0.25,62.25,0.23199999999999998
1,2.0,yes,0.7759999999999999,1.012,,,,1.0,2.0,spot-bound,313.189,20190127.0,bound,74.878,74.878,2.577,4.183,27.234,spot,274.41200000000003,279.018,0.32799999999999996,80.328,0.42200000000000004,56.422,0.32299999999999995
2,3.0,yes,0.8490000000000001,1.013,,,,1.0,3.0,spot-bound,294.055,20190127.0,bound,74.163,74.163,2.513,4.099,25.57,spot,283.413,286.084,-0.516,10.484000000000002,-0.062,75.938,0.085
3,4.0,yes,0.693,1.013,,,,1.0,4.0,spot-bound,297.778,20190127.0,bound,74.184,74.184,2.5380000000000003,4.131,25.894000000000002,spot,283.413,281.25,0.266,58.266000000000005,0.109,35.109,0.31
4,5.0,yes,0.963,1.013,,,,1.0,5.0,spot-bound,291.218,20190127.0,bound,72.673,72.673,2.551,4.148,25.323,spot,283.447,283.413,0.391,85.391,0.266,69.266,0.304
0,1.0,yes,1.124,1.018,,,,1.0,1.0,spot-bound,310.98900000000003,20190127.0,bound,109.755,109.755,3.4619999999999997,5.3229999999999995,27.043000000000003,spot,337.874,352.648,0.25,78.25,0.094,59.093999999999994,1.162
1,2.0,yes,1.5090000000000001,1.018,,,,1.0,2.0,spot-bound,310.105,20190127.0,bound,110.38799999999999,110.38799999999999,4.707,6.877000000000001,26.965999999999998,spot,339.161,342.439,-0.094,79.906,-0.125,30.875,3.6519999999999997
2,3.0,yes,20.249000000000002,1.02,,,,0.0,3.0,spot-bound,295.063,20190127.0,bound,113.286,113.286,16.233,20.262,25.658,spot,281.25,297.62,-0.156,60.843999999999994,-0.516,9.484,36.985
3,4.0,yes,2.415,1.018,,,,0.0,4.0,spot-bound,314.606,20190127.0,bound,109.87799999999999,109.87799999999999,14.565,18.381,27.357,spot,323.414,333.981,0.141,65.141,-0.391,18.609,7.26
4,5.0,yes,1.171,1.018,,,,1.0,5.0,spot-bound,303.51099999999997,20190127.0,bound,107.061,107.061,12.62,16.172,26.392,spot,342.773,339.89,-0.125,7.875,-0.42200000000000004,65.578,2.5380000000000003
0,,yes,1.421,1.0170000000000001,,,,1.0,1.0,spot-bound,311.77,20190127.0,bound,109.245,109.245,6.379,8.905,27.11,spot,337.17,336.491,0.188,54.188,-0.188,72.812,4.079
1,,yes,1.46,1.018,,,,1.0,2.0,spot-bound,310.945,20190127.0,bound,109.61200000000001,109.61200000000001,5.834,8.249,27.039,spot,339.89,340.981,-0.172,83.82799999999999,0.344,70.344,2.988
2,,yes,1.0390000000000001,1.018,,,,1.0,3.0,spot-bound,306.06,20190127.0,bound,109.65299999999999,109.65299999999999,5.01,7.247999999999999,26.614,spot,350.0,350.0,0.469,42.468999999999994,-0.406,7.593999999999999,1.061
0,,yes,1.193,1.0190000000000001,,,,1.0,1.0,spot-bound,300.93,20190127.0,bound,109.061,109.061,4.238,6.297000000000001,26.168000000000003,spot,355.469,343.015,0.297,35.297,-0.203,54.797,1.9380000000000002
1,,yes,1.177,1.018,,,,1.0,2.0,spot-bound,313.059,20190127.0,bound,110.61200000000001,110.61200000000001,4.0680000000000005,6.085,27.223000000000003,spot,344.531,343.195,-0.297,11.703,-0.188,80.812,1.599
2,,yes,4.953,1.0190000000000001,,,,0.0,3.0,spot-bound,307.513,20190127.0,bound,108.08200000000001,108.08200000000001,8.329,11.215,26.74,spot,321.16200000000003,311.308,-0.42200000000000004,43.578,-0.031,51.968999999999994,14.549000000000001
0,,yes,1.205,1.0170000000000001,,,,1.0,2.0,spot-bound,318.988,20190127.0,bound,111.837,111.837,7.077999999999999,9.738,27.738000000000003,spot,340.81699999999995,340.05400000000003,-0.266,52.733999999999995,0.125,29.125,2.6919999999999997
1,,yes,1.7930000000000001,1.0190000000000001,,,,1.0,3.0,spot-bound,303.491,20190127.0,bound,108.34700000000001,108.34700000000001,6.782,9.386000000000001,26.391,spot,342.773,337.17,-0.016,46.983999999999995,-0.266,74.734,3.89
0,,yes,1.1520000000000001,1.018,,,,1.0,1.0,spot-bound,312.593,20190127.0,bound,111.163,111.163,4.596,6.74,27.182,spot,351.102,337.25,-0.078,87.92200000000001,-0.109,21.891,2.296
1,,yes,0.935,1.018,,,,1.0,2.0,spot-bound,306.449,20190127.0,bound,107.77600000000001,107.77600000000001,3.8939999999999997,5.867000000000001,26.648000000000003,spot,344.531,350.0,0.42200000000000004,21.421999999999997,-0.484,19.516,0.892
