, ,Above threshold?,Chi^2,Correlation Coefficient,"Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010071/, redtitle: 20190127010071.bin.counts_ch0.stack.tif","Directory: /media/markus/DEF256A2F2567EA9/Users/Markus/LittleHelpers/ConfocalSimulation/Experiments/20190127010080/, redtitle: 20190127010080.bin.counts_ch0.stack.tif",Good?,ROI,Shape-Binding,a,date,free or bound?,iFirst,iSecond,pthresh,realthreshold,run,spot,stoichiometry,streak,streak or spot?,wx,wy,x0,xpos,y0,ypos,z
1,,yes,0.935,1.018,,,1.0,2.0,spot-bound,306.449,20190127.0,bound,107.77600000000001,107.77600000000001,2.7939999999999996,4.465,,,51.075,,spot,344.531,350.0,0.42200000000000004,21.421999999999997,-0.484,19.516,0.892
2,,yes,1.334,1.018,,,1.0,3.0,spot-bound,313.697,20190127.0,bound,109.85700000000001,109.85700000000001,2.971,4.694,,,52.283,,spot,335.653,345.45099999999996,-0.21899999999999997,71.781,0.062,90.06200000000001,2.125
0,,yes,1.276,1.0170000000000001,,,1.0,1.0,spot-bound,315.82099999999997,20190127.0,bound,110.551,110.551,3.137,4.908,,,52.637,,spot,346.884,340.13699999999994,0.266,75.266,0.484,34.484,1.9369999999999998
1,,yes,1.0590000000000002,1.02,,,1.0,2.0,spot-bound,296.837,20190127.0,bound,107.91799999999999,107.91799999999999,3.2739999999999996,5.083,,,49.473,,spot,348.375,345.285,-0.047,45.953,-0.031,79.969,2.21
2,,yes,1.268,1.018,,,1.0,3.0,spot-bound,305.1,20190127.0,bound,107.32700000000001,107.32700000000001,3.4760000000000004,5.34,,,50.85,,spot,339.89,342.773,0.45299999999999996,11.453,-0.047,8.953,2.68
3,,yes,1.4080000000000001,1.0170000000000001,,,1.0,4.0,spot-bound,307.998,20190127.0,bound,106.22399999999999,106.22399999999999,3.3160000000000003,5.1370000000000005,,,51.333,,spot,341.022,340.096,0.5,16.5,-0.45299999999999996,20.546999999999997,1.636
4,,yes,1.446,1.0190000000000001,,,1.0,5.0,spot-bound,304.52,20190127.0,bound,109.265,109.265,3.505,5.377000000000001,,,50.753,,spot,342.60900000000004,342.773,0.062,81.062,0.078,78.078,3.0589999999999997
0,,yes,1.0759999999999998,1.016,,,1.0,1.0,spot-bound,322.82099999999997,20190127.0,bound,110.714,110.714,3.278,5.088,,,53.803999999999995,,spot,338.459,337.255,0.281,10.280999999999999,0.21899999999999997,49.218999999999994,2.0780000000000003
1,,yes,1.328,1.018,,,1.0,2.0,spot-bound,298.219,20190127.0,bound,105.714,105.714,3.3539999999999996,5.185,,,49.703,,spot,345.285,343.015,-0.484,10.515999999999998,-0.062,61.938,2.231
2,,yes,0.9209999999999999,1.0190000000000001,,,1.0,3.0,spot-bound,297.85200000000003,20190127.0,bound,107.449,107.449,3.0189999999999997,4.757,,,49.641999999999996,,spot,349.915,352.73400000000004,-0.344,61.656000000000006,-0.32799999999999996,19.672,1.149
0,,yes,1.15,1.018,,,1.0,1.0,spot-bound,308.427,20190127.0,bound,109.286,109.286,2.694,4.336,,,51.403999999999996,,spot,347.181,345.695,0.484,79.484,0.062,67.062,1.494
1,,yes,1.294,1.018,,,1.0,2.0,spot-bound,298.947,20190127.0,bound,106.91799999999999,106.91799999999999,2.802,4.476,,,49.825,,spot,341.022,352.69199999999995,-0.203,70.797,0.281,19.281,1.71
